t0,10/7/2021  19:53:35.255857
delta t,0.010000

time,Y
10/7/2021  19:53:35.255857,0.219603
10/7/2021  19:53:35.265857,0.212377
10/7/2021  19:53:35.275857,0.210735
10/7/2021  19:53:35.285857,0.209093
10/7/2021  19:53:35.295857,0.210407
10/7/2021  19:53:35.305857,0.211064
10/7/2021  19:53:35.315857,0.212377
10/7/2021  19:53:35.325857,0.210407
10/7/2021  19:53:35.335857,0.211064
10/7/2021  19:53:35.345857,0.212377
10/7/2021  19:53:35.355857,0.229457
10/7/2021  19:53:35.365857,0.238982
10/7/2021  19:53:35.375857,0.240624
10/7/2021  19:53:35.385857,0.235041
10/7/2021  19:53:35.395857,0.224530
10/7/2021  19:53:35.405857,0.223545
10/7/2021  19:53:35.415857,0.217961
10/7/2021  19:53:35.425857,0.211064
10/7/2021  19:53:35.435857,0.211392
10/7/2021  19:53:35.445857,0.210078
10/7/2021  19:53:35.455857,0.227486
10/7/2021  19:53:35.465857,0.223873
10/7/2021  19:53:35.475857,0.218290
10/7/2021  19:53:35.485857,0.209421
10/7/2021  19:53:35.495857,0.210407
10/7/2021  19:53:35.505857,0.211392
10/7/2021  19:53:35.515857,0.210735
10/7/2021  19:53:35.525857,0.211064
10/7/2021  19:53:35.535857,0.211392
10/7/2021  19:53:35.545857,0.207451
10/7/2021  19:53:35.555857,0.212049
10/7/2021  19:53:35.565857,0.208436
10/7/2021  19:53:35.575857,0.210735
10/7/2021  19:53:35.585857,0.210078
10/7/2021  19:53:35.595857,0.212706
10/7/2021  19:53:35.605857,0.212377
10/7/2021  19:53:35.615857,0.212049
10/7/2021  19:53:35.625857,0.214020
10/7/2021  19:53:35.635857,0.212049
10/7/2021  19:53:35.645857,0.220260
10/7/2021  19:53:35.655857,0.219275
10/7/2021  19:53:35.665857,0.230442
10/7/2021  19:53:35.675857,0.238325
10/7/2021  19:53:35.685857,0.238982
10/7/2021  19:53:35.695857,0.233727
10/7/2021  19:53:35.705857,0.224202
10/7/2021  19:53:35.715857,0.221903
10/7/2021  19:53:35.725857,0.215990
10/7/2021  19:53:35.735857,0.210078
10/7/2021  19:53:35.745857,0.210078
10/7/2021  19:53:35.755857,0.237668
10/7/2021  19:53:35.765857,0.239311
10/7/2021  19:53:35.775857,0.235041
10/7/2021  19:53:35.785857,0.224859
10/7/2021  19:53:35.795857,0.221246
10/7/2021  19:53:35.805857,0.215990
10/7/2021  19:53:35.815857,0.209750
10/7/2021  19:53:35.825857,0.210407
10/7/2021  19:53:35.835857,0.211720
10/7/2021  19:53:35.845857,0.211392
10/7/2021  19:53:35.855857,0.209421
10/7/2021  19:53:35.865857,0.210407
10/7/2021  19:53:35.875857,0.214020
10/7/2021  19:53:35.885857,0.219275
10/7/2021  19:53:35.895857,0.231756
10/7/2021  19:53:35.905857,0.241281
10/7/2021  19:53:35.915857,0.239639
10/7/2021  19:53:35.925857,0.235041
10/7/2021  19:53:35.935857,0.225844
10/7/2021  19:53:35.945857,0.222559
10/7/2021  19:53:35.955857,0.239968
10/7/2021  19:53:35.965857,0.235698
10/7/2021  19:53:35.975857,0.227486
10/7/2021  19:53:35.985857,0.224859
10/7/2021  19:53:35.995857,0.216319
10/7/2021  19:53:36.005857,0.209750
10/7/2021  19:53:36.015857,0.210407
10/7/2021  19:53:36.025857,0.211392
10/7/2021  19:53:36.035857,0.212049
10/7/2021  19:53:36.045857,0.213034
10/7/2021  19:53:36.055857,0.213034
10/7/2021  19:53:36.065857,0.222888
10/7/2021  19:53:36.075857,0.234055
10/7/2021  19:53:36.085857,0.238654
10/7/2021  19:53:36.095857,0.238982
10/7/2021  19:53:36.105857,0.233727
10/7/2021  19:53:36.115857,0.226829
10/7/2021  19:53:36.125857,0.219275
10/7/2021  19:53:36.135857,0.214020
10/7/2021  19:53:36.145857,0.210735
10/7/2021  19:53:36.155857,0.210078
10/7/2021  19:53:36.165857,0.211392
10/7/2021  19:53:36.175857,0.210735
10/7/2021  19:53:36.185857,0.209750
10/7/2021  19:53:36.195857,0.210078
10/7/2021  19:53:36.205857,0.215662
10/7/2021  19:53:36.215857,0.226829
10/7/2021  19:53:36.225857,0.236355
10/7/2021  19:53:36.235857,0.239968
10/7/2021  19:53:36.245857,0.235698
10/7/2021  19:53:36.255857,0.237011
10/7/2021  19:53:36.265857,0.227486
10/7/2021  19:53:36.275857,0.223873
10/7/2021  19:53:36.285857,0.218618
10/7/2021  19:53:36.295857,0.212706
10/7/2021  19:53:36.305857,0.209750
10/7/2021  19:53:36.315857,0.211392
10/7/2021  19:53:36.325857,0.210407
10/7/2021  19:53:36.335857,0.212049
10/7/2021  19:53:36.345857,0.212049
10/7/2021  19:53:36.355857,0.212377
10/7/2021  19:53:36.365857,0.212706
10/7/2021  19:53:36.375857,0.211064
10/7/2021  19:53:36.385857,0.212377
10/7/2021  19:53:36.395857,0.211720
10/7/2021  19:53:36.405857,0.216319
10/7/2021  19:53:36.415857,0.227815
10/7/2021  19:53:36.425857,0.236683
10/7/2021  19:53:36.435857,0.238325
10/7/2021  19:53:36.445857,0.236683
10/7/2021  19:53:36.455857,0.212049
10/7/2021  19:53:36.465857,0.211720
10/7/2021  19:53:36.475857,0.210078
10/7/2021  19:53:36.485857,0.210407
10/7/2021  19:53:36.495857,0.211720
10/7/2021  19:53:36.505857,0.211720
10/7/2021  19:53:36.515857,0.211064
10/7/2021  19:53:36.525857,0.210407
10/7/2021  19:53:36.535857,0.212049
10/7/2021  19:53:36.545857,0.222888
10/7/2021  19:53:36.555857,0.210735
10/7/2021  19:53:36.565857,0.210735
10/7/2021  19:53:36.575857,0.209421
10/7/2021  19:53:36.585857,0.209750
10/7/2021  19:53:36.595857,0.213363
10/7/2021  19:53:36.605857,0.221903
10/7/2021  19:53:36.615857,0.233070
10/7/2021  19:53:36.625857,0.237668
10/7/2021  19:53:36.635857,0.239311
10/7/2021  19:53:36.645857,0.233070
10/7/2021  19:53:36.655857,0.210735
10/7/2021  19:53:36.665857,0.211064
10/7/2021  19:53:36.675857,0.212049
10/7/2021  19:53:36.685857,0.209421
10/7/2021  19:53:36.695857,0.209421
10/7/2021  19:53:36.705857,0.209421
10/7/2021  19:53:36.715857,0.218618
10/7/2021  19:53:36.725857,0.230114
10/7/2021  19:53:36.735857,0.239639
10/7/2021  19:53:36.745857,0.239639
10/7/2021  19:53:36.755857,0.221246
10/7/2021  19:53:36.765857,0.213691
10/7/2021  19:53:36.775857,0.210078
10/7/2021  19:53:36.785857,0.209421
10/7/2021  19:53:36.795857,0.210407
10/7/2021  19:53:36.805857,0.209750
10/7/2021  19:53:36.815857,0.211720
10/7/2021  19:53:36.825857,0.211064
10/7/2021  19:53:36.835857,0.209093
10/7/2021  19:53:36.845857,0.211720
10/7/2021  19:53:36.855857,0.238325
10/7/2021  19:53:36.865857,0.234384
10/7/2021  19:53:36.875857,0.223545
10/7/2021  19:53:36.885857,0.222231
10/7/2021  19:53:36.895857,0.213691
10/7/2021  19:53:36.905857,0.209421
10/7/2021  19:53:36.915857,0.210407
10/7/2021  19:53:36.925857,0.210735
10/7/2021  19:53:36.935857,0.210078
10/7/2021  19:53:36.945857,0.211392
10/7/2021  19:53:36.955857,0.210407
10/7/2021  19:53:36.965857,0.211392
10/7/2021  19:53:36.975857,0.212377
10/7/2021  19:53:36.985857,0.212377
10/7/2021  19:53:36.995857,0.209750
10/7/2021  19:53:37.005857,0.210078
10/7/2021  19:53:37.015857,0.216319
10/7/2021  19:53:37.025857,0.226829
10/7/2021  19:53:37.035857,0.235698
10/7/2021  19:53:37.045857,0.238325
10/7/2021  19:53:37.055857,0.709329
10/7/2021  19:53:37.065857,0.708672
10/7/2021  19:53:37.075857,0.696191
10/7/2021  19:53:37.085857,0.675170
10/7/2021  19:53:37.095857,0.644295
10/7/2021  19:53:37.105857,0.607508
10/7/2021  19:53:37.115857,0.579589
10/7/2021  19:53:37.125857,0.552984
10/7/2021  19:53:37.135857,0.516854
10/7/2021  19:53:37.145857,0.484666
10/7/2021  19:53:37.155857,0.551014
10/7/2021  19:53:37.165857,0.546087
10/7/2021  19:53:37.175857,0.543131
10/7/2021  19:53:37.185857,0.546415
10/7/2021  19:53:37.195857,0.552984
10/7/2021  19:53:37.205857,0.558240
10/7/2021  19:53:37.215857,0.565466
10/7/2021  19:53:37.225857,0.570721
10/7/2021  19:53:37.235857,0.581232
10/7/2021  19:53:37.245857,0.596669
10/7/2021  19:53:37.255857,0.564480
10/7/2021  19:53:37.265857,0.566780
10/7/2021  19:53:37.275857,0.572035
10/7/2021  19:53:37.285857,0.577290
10/7/2021  19:53:37.295857,0.584188
10/7/2021  19:53:37.305857,0.590757
10/7/2021  19:53:37.315857,0.599297
10/7/2021  19:53:37.325857,0.601924
10/7/2021  19:53:37.335857,0.595684
10/7/2021  19:53:37.345857,0.585173
10/7/2021  19:53:37.355857,0.575648
10/7/2021  19:53:37.365857,0.581560
10/7/2021  19:53:37.375857,0.587144
10/7/2021  19:53:37.385857,0.585501
10/7/2021  19:53:37.395857,0.577947
10/7/2021  19:53:37.405857,0.574991
10/7/2021  19:53:37.415857,0.573677
10/7/2021  19:53:37.425857,0.571378
10/7/2021  19:53:37.435857,0.571706
10/7/2021  19:53:37.445857,0.570393
10/7/2021  19:53:37.455857,0.578932
10/7/2021  19:53:37.465857,0.579261
10/7/2021  19:53:37.475857,0.577290
10/7/2021  19:53:37.485857,0.572692
10/7/2021  19:53:37.495857,0.574334
10/7/2021  19:53:37.505857,0.572692
10/7/2021  19:53:37.515857,0.573677
10/7/2021  19:53:37.525857,0.571378
10/7/2021  19:53:37.535857,0.572363
10/7/2021  19:53:37.545857,0.567765
10/7/2021  19:53:37.555857,0.570393
10/7/2021  19:53:37.565857,0.570064
10/7/2021  19:53:37.575857,0.569407
10/7/2021  19:53:37.585857,0.571049
10/7/2021  19:53:37.595857,0.569407
10/7/2021  19:53:37.605857,0.569736
10/7/2021  19:53:37.615857,0.570721
10/7/2021  19:53:37.625857,0.577290
10/7/2021  19:53:37.635857,0.581888
10/7/2021  19:53:37.645857,0.587801
10/7/2021  19:53:37.655857,0.568093
10/7/2021  19:53:37.665857,0.568093
10/7/2021  19:53:37.675857,0.569079
10/7/2021  19:53:37.685857,0.572692
10/7/2021  19:53:37.695857,0.577947
10/7/2021  19:53:37.705857,0.584516
10/7/2021  19:53:37.715857,0.588129
10/7/2021  19:53:37.725857,0.585173
10/7/2021  19:53:37.735857,0.576633
10/7/2021  19:53:37.745857,0.577290
10/7/2021  19:53:37.755857,0.569407
10/7/2021  19:53:37.765857,0.570064
10/7/2021  19:53:37.775857,0.568750
10/7/2021  19:53:37.785857,0.570064
10/7/2021  19:53:37.795857,0.571049
10/7/2021  19:53:37.805857,0.573349
10/7/2021  19:53:37.815857,0.579918
10/7/2021  19:53:37.825857,0.586487
10/7/2021  19:53:37.835857,0.587144
10/7/2021  19:53:37.845857,0.581888
10/7/2021  19:53:37.855857,0.566451
10/7/2021  19:53:37.865857,0.567436
10/7/2021  19:53:37.875857,0.567108
10/7/2021  19:53:37.885857,0.568093
10/7/2021  19:53:37.895857,0.568422
10/7/2021  19:53:37.905857,0.567108
10/7/2021  19:53:37.915857,0.568422
10/7/2021  19:53:37.925857,0.567108
10/7/2021  19:53:37.935857,0.571378
10/7/2021  19:53:37.945857,0.576962
10/7/2021  19:53:37.955857,0.572363
10/7/2021  19:53:37.965857,0.571049
10/7/2021  19:53:37.975857,0.565137
10/7/2021  19:53:37.985857,0.565137
10/7/2021  19:53:37.995857,0.565466
10/7/2021  19:53:38.005857,0.565466
10/7/2021  19:53:38.015857,0.567108
10/7/2021  19:53:38.025857,0.566123
10/7/2021  19:53:38.035857,0.566780
10/7/2021  19:53:38.045857,0.565137
10/7/2021  19:53:38.055857,0.563167
10/7/2021  19:53:38.065857,0.563823
10/7/2021  19:53:38.075857,0.563495
10/7/2021  19:53:38.085857,0.562838
10/7/2021  19:53:38.095857,0.562838
10/7/2021  19:53:38.105857,0.568093
10/7/2021  19:53:38.115857,0.575976
10/7/2021  19:53:38.125857,0.579261
10/7/2021  19:53:38.135857,0.578275
10/7/2021  19:53:38.145857,0.572035
10/7/2021  19:53:38.155857,0.550685
10/7/2021  19:53:38.165857,0.550685
10/7/2021  19:53:38.175857,0.551671
10/7/2021  19:53:38.185857,0.550028
10/7/2021  19:53:38.195857,0.549700
10/7/2021  19:53:38.205857,0.549700
10/7/2021  19:53:38.215857,0.552984
10/7/2021  19:53:38.225857,0.559554
10/7/2021  19:53:38.235857,0.567108
10/7/2021  19:53:38.245857,0.571706
10/7/2021  19:53:38.255857,0.581232
10/7/2021  19:53:38.265857,0.576633
10/7/2021  19:53:38.275857,0.578275
10/7/2021  19:53:38.285857,0.580903
10/7/2021  19:53:38.295857,0.579589
10/7/2021  19:53:38.305857,0.581232
10/7/2021  19:53:38.315857,0.580575
10/7/2021  19:53:38.325857,0.580246
10/7/2021  19:53:38.335857,0.578275
10/7/2021  19:53:38.345857,0.578604
10/7/2021  19:53:38.355857,0.575976
10/7/2021  19:53:38.365857,0.576305
10/7/2021  19:53:38.375857,0.577619
10/7/2021  19:53:38.385857,0.574006
10/7/2021  19:53:38.395857,0.575648
10/7/2021  19:53:38.405857,0.576305
