t0,10/7/2021  20:02:08.356288
delta t,0.010000

time,Y
10/7/2021  20:02:08.356288,0.247194
10/7/2021  20:02:08.366288,0.255733
10/7/2021  20:02:08.376288,0.258361
10/7/2021  20:02:08.386288,0.252120
10/7/2021  20:02:08.396288,0.244566
10/7/2021  20:02:08.406288,0.240953
10/7/2021  20:02:08.416288,0.234712
10/7/2021  20:02:08.426288,0.231428
10/7/2021  20:02:08.436288,0.229785
10/7/2021  20:02:08.446288,0.228472
10/7/2021  20:02:08.456288,0.227486
10/7/2021  20:02:08.466288,0.229129
10/7/2021  20:02:08.476288,0.231428
10/7/2021  20:02:08.486288,0.241610
10/7/2021  20:02:08.496288,0.251463
10/7/2021  20:02:08.506288,0.256390
10/7/2021  20:02:08.516288,0.256062
10/7/2021  20:02:08.526288,0.250807
10/7/2021  20:02:08.536288,0.242595
10/7/2021  20:02:08.546288,0.238654
10/7/2021  20:02:08.556288,0.230442
10/7/2021  20:02:08.566288,0.233398
10/7/2021  20:02:08.576288,0.234384
10/7/2021  20:02:08.586288,0.226829
10/7/2021  20:02:08.596288,0.224202
10/7/2021  20:02:08.606288,0.223873
10/7/2021  20:02:08.616288,0.228143
10/7/2021  20:02:08.626288,0.231756
10/7/2021  20:02:08.636288,0.234055
10/7/2021  20:02:08.646288,0.232085
10/7/2021  20:02:08.656288,0.217633
10/7/2021  20:02:08.666288,0.222231
10/7/2021  20:02:08.676288,0.220917
10/7/2021  20:02:08.686288,0.210407
10/7/2021  20:02:08.696288,0.207451
10/7/2021  20:02:08.706288,0.198911
10/7/2021  20:02:08.716288,0.192670
10/7/2021  20:02:08.726288,0.192342
10/7/2021  20:02:08.736288,0.191356
10/7/2021  20:02:08.746288,0.192342
10/7/2021  20:02:08.756288,0.193655
10/7/2021  20:02:08.766288,0.192999
10/7/2021  20:02:08.776288,0.200881
10/7/2021  20:02:08.786288,0.212377
10/7/2021  20:02:08.796288,0.220917
10/7/2021  20:02:08.806288,0.223216
10/7/2021  20:02:08.816288,0.218290
10/7/2021  20:02:08.826288,0.209421
10/7/2021  20:02:08.836288,0.205480
10/7/2021  20:02:08.846288,0.200225
10/7/2021  20:02:08.856288,0.191028
10/7/2021  20:02:08.866288,0.192670
10/7/2021  20:02:08.876288,0.193984
10/7/2021  20:02:08.886288,0.194641
10/7/2021  20:02:08.896288,0.192342
10/7/2021  20:02:08.906288,0.192013
10/7/2021  20:02:08.916288,0.196283
10/7/2021  20:02:08.926288,0.204166
10/7/2021  20:02:08.936288,0.215990
10/7/2021  20:02:08.946288,0.222888
10/7/2021  20:02:08.956288,0.204823
10/7/2021  20:02:08.966288,0.198911
10/7/2021  20:02:08.976288,0.191685
10/7/2021  20:02:08.986288,0.191685
10/7/2021  20:02:08.996288,0.190699
10/7/2021  20:02:09.006288,0.193327
10/7/2021  20:02:09.016288,0.192999
10/7/2021  20:02:09.026288,0.193655
10/7/2021  20:02:09.036288,0.192342
10/7/2021  20:02:09.046288,0.193327
10/7/2021  20:02:09.056288,0.192999
10/7/2021  20:02:09.066288,0.197925
10/7/2021  20:02:09.076288,0.208436
10/7/2021  20:02:09.086288,0.219275
10/7/2021  20:02:09.096288,0.223873
10/7/2021  20:02:09.106288,0.219932
10/7/2021  20:02:09.116288,0.212377
10/7/2021  20:02:09.126288,0.205480
10/7/2021  20:02:09.136288,0.199568
10/7/2021  20:02:09.146288,0.194312
10/7/2021  20:02:09.156288,0.198582
10/7/2021  20:02:09.166288,0.191356
10/7/2021  20:02:09.176288,0.192342
10/7/2021  20:02:09.186288,0.192013
10/7/2021  20:02:09.196288,0.192999
10/7/2021  20:02:09.206288,0.192670
10/7/2021  20:02:09.216288,0.192342
10/7/2021  20:02:09.226288,0.191356
10/7/2021  20:02:09.236288,0.193655
10/7/2021  20:02:09.246288,0.196940
10/7/2021  20:02:09.256288,0.194312
10/7/2021  20:02:09.266288,0.192013
10/7/2021  20:02:09.276288,0.192342
10/7/2021  20:02:09.286288,0.191356
10/7/2021  20:02:09.296288,0.193655
10/7/2021  20:02:09.306288,0.194312
10/7/2021  20:02:09.316288,0.192999
10/7/2021  20:02:09.326288,0.193984
10/7/2021  20:02:09.336288,0.196283
10/7/2021  20:02:09.346288,0.205480
10/7/2021  20:02:09.356288,0.198582
10/7/2021  20:02:09.366288,0.207122
10/7/2021  20:02:09.376288,0.217304
10/7/2021  20:02:09.386288,0.220260
10/7/2021  20:02:09.396288,0.222231
10/7/2021  20:02:09.406288,0.215662
10/7/2021  20:02:09.416288,0.206794
10/7/2021  20:02:09.426288,0.202852
10/7/2021  20:02:09.436288,0.195626
10/7/2021  20:02:09.446288,0.192999
10/7/2021  20:02:09.456288,0.191685
10/7/2021  20:02:09.466288,0.191028
10/7/2021  20:02:09.476288,0.192342
10/7/2021  20:02:09.486288,0.201538
10/7/2021  20:02:09.496288,0.212377
10/7/2021  20:02:09.506288,0.220917
10/7/2021  20:02:09.516288,0.221574
10/7/2021  20:02:09.526288,0.216647
10/7/2021  20:02:09.536288,0.207779
10/7/2021  20:02:09.546288,0.204823
10/7/2021  20:02:09.556288,0.195626
10/7/2021  20:02:09.566288,0.205151
10/7/2021  20:02:09.576288,0.216319
10/7/2021  20:02:09.586288,0.223545
10/7/2021  20:02:09.596288,0.222888
10/7/2021  20:02:09.606288,0.215333
10/7/2021  20:02:09.616288,0.205808
10/7/2021  20:02:09.626288,0.202852
10/7/2021  20:02:09.636288,0.196940
10/7/2021  20:02:09.646288,0.192342
10/7/2021  20:02:09.656288,0.215990
10/7/2021  20:02:09.666288,0.208107
10/7/2021  20:02:09.676288,0.202852
10/7/2021  20:02:09.686288,0.196940
10/7/2021  20:02:09.696288,0.192342
10/7/2021  20:02:09.706288,0.193655
10/7/2021  20:02:09.716288,0.191028
10/7/2021  20:02:09.726288,0.192670
10/7/2021  20:02:09.736288,0.193655
10/7/2021  20:02:09.746288,0.192999
10/7/2021  20:02:09.756288,0.191356
10/7/2021  20:02:09.766288,0.193327
10/7/2021  20:02:09.776288,0.202852
10/7/2021  20:02:09.786288,0.213363
10/7/2021  20:02:09.796288,0.219275
10/7/2021  20:02:09.806288,0.222559
10/7/2021  20:02:09.816288,0.216319
10/7/2021  20:02:09.826288,0.208107
10/7/2021  20:02:09.836288,0.202852
10/7/2021  20:02:09.846288,0.197268
10/7/2021  20:02:09.856288,0.194969
10/7/2021  20:02:09.866288,0.191685
10/7/2021  20:02:09.876288,0.193655
10/7/2021  20:02:09.886288,0.192342
10/7/2021  20:02:09.896288,0.201210
10/7/2021  20:02:09.906288,0.213034
10/7/2021  20:02:09.916288,0.221246
10/7/2021  20:02:09.926288,0.221246
10/7/2021  20:02:09.936288,0.215990
10/7/2021  20:02:09.946288,0.206465
10/7/2021  20:02:09.956288,0.193984
10/7/2021  20:02:09.966288,0.192999
10/7/2021  20:02:09.976288,0.194641
10/7/2021  20:02:09.986288,0.206137
10/7/2021  20:02:09.996288,0.216976
10/7/2021  20:02:10.006288,0.222231
10/7/2021  20:02:10.016288,0.221246
10/7/2021  20:02:10.026288,0.215662
10/7/2021  20:02:10.036288,0.207779
10/7/2021  20:02:10.046288,0.200881
10/7/2021  20:02:10.056288,0.192342
10/7/2021  20:02:10.066288,0.192670
10/7/2021  20:02:10.076288,0.194641
10/7/2021  20:02:10.086288,0.204166
10/7/2021  20:02:10.096288,0.215662
10/7/2021  20:02:10.106288,0.221574
10/7/2021  20:02:10.116288,0.222888
10/7/2021  20:02:10.126288,0.215333
10/7/2021  20:02:10.136288,0.206794
10/7/2021  20:02:10.146288,0.203509
10/7/2021  20:02:10.156288,0.318140
10/7/2021  20:02:10.166288,0.345073
10/7/2021  20:02:10.176288,0.367079
10/7/2021  20:02:10.186288,0.379561
10/7/2021  20:02:10.196288,0.386130
10/7/2021  20:02:10.206288,0.388100
10/7/2021  20:02:10.216288,0.388429
10/7/2021  20:02:10.226288,0.374305
10/7/2021  20:02:10.236288,0.354270
10/7/2021  20:02:10.246288,0.335548
10/7/2021  20:02:10.256288,0.329964
10/7/2021  20:02:10.266288,0.328650
10/7/2021  20:02:10.276288,0.327008
10/7/2021  20:02:10.286288,0.322738
10/7/2021  20:02:10.296288,0.323066
10/7/2021  20:02:10.306288,0.320110
10/7/2021  20:02:10.316288,0.319453
10/7/2021  20:02:10.326288,0.317154
10/7/2021  20:02:10.336288,0.315512
10/7/2021  20:02:10.346288,0.311571
10/7/2021  20:02:10.356288,0.320110
10/7/2021  20:02:10.366288,0.320110
10/7/2021  20:02:10.376288,0.318468
10/7/2021  20:02:10.386288,0.320439
10/7/2021  20:02:10.396288,0.317483
10/7/2021  20:02:10.406288,0.316497
10/7/2021  20:02:10.416288,0.315512
10/7/2021  20:02:10.426288,0.315840
10/7/2021  20:02:10.436288,0.321753
10/7/2021  20:02:10.446288,0.328979
10/7/2021  20:02:10.456288,0.322410
10/7/2021  20:02:10.466288,0.317483
10/7/2021  20:02:10.476288,0.317154
10/7/2021  20:02:10.486288,0.315840
10/7/2021  20:02:10.496288,0.316169
10/7/2021  20:02:10.506288,0.316497
10/7/2021  20:02:10.516288,0.314855
10/7/2021  20:02:10.526288,0.315840
10/7/2021  20:02:10.536288,0.315184
10/7/2021  20:02:10.546288,0.319125
10/7/2021  20:02:10.556288,0.318468
10/7/2021  20:02:10.566288,0.314855
10/7/2021  20:02:10.576288,0.316497
10/7/2021  20:02:10.586288,0.318140
10/7/2021  20:02:10.596288,0.317154
10/7/2021  20:02:10.606288,0.318797
10/7/2021  20:02:10.616288,0.318468
10/7/2021  20:02:10.626288,0.317154
10/7/2021  20:02:10.636288,0.317811
10/7/2021  20:02:10.646288,0.320110
10/7/2021  20:02:10.656288,0.315184
10/7/2021  20:02:10.666288,0.318468
10/7/2021  20:02:10.676288,0.325694
10/7/2021  20:02:10.686288,0.336205
10/7/2021  20:02:10.696288,0.341460
10/7/2021  20:02:10.706288,0.340475
10/7/2021  20:02:10.716288,0.332263
10/7/2021  20:02:10.726288,0.327665
10/7/2021  20:02:10.736288,0.324709
10/7/2021  20:02:10.746288,0.319453
10/7/2021  20:02:10.756288,0.325037
10/7/2021  20:02:10.766288,0.318797
10/7/2021  20:02:10.776288,0.316826
10/7/2021  20:02:10.786288,0.317154
10/7/2021  20:02:10.796288,0.317811
10/7/2021  20:02:10.806288,0.317154
10/7/2021  20:02:10.816288,0.318468
10/7/2021  20:02:10.826288,0.317154
10/7/2021  20:02:10.836288,0.316169
10/7/2021  20:02:10.846288,0.315184
10/7/2021  20:02:10.856288,0.336862
10/7/2021  20:02:10.866288,0.342445
10/7/2021  20:02:10.876288,0.342117
10/7/2021  20:02:10.886288,0.337518
10/7/2021  20:02:10.896288,0.327993
10/7/2021  20:02:10.906288,0.324709
10/7/2021  20:02:10.916288,0.317811
10/7/2021  20:02:10.926288,0.316169
10/7/2021  20:02:10.936288,0.317483
10/7/2021  20:02:10.946288,0.314527
10/7/2021  20:02:10.956288,0.317483
10/7/2021  20:02:10.966288,0.322738
10/7/2021  20:02:10.976288,0.331606
10/7/2021  20:02:10.986288,0.339489
10/7/2021  20:02:10.996288,0.342117
10/7/2021  20:02:11.006288,0.338832
10/7/2021  20:02:11.016288,0.330621
10/7/2021  20:02:11.026288,0.328979
10/7/2021  20:02:11.036288,0.323066
10/7/2021  20:02:11.046288,0.316169
10/7/2021  20:02:11.056288,0.319125
10/7/2021  20:02:11.066288,0.316826
10/7/2021  20:02:11.076288,0.315512
10/7/2021  20:02:11.086288,0.317811
10/7/2021  20:02:11.096288,0.317483
10/7/2021  20:02:11.106288,0.317483
10/7/2021  20:02:11.116288,0.316497
10/7/2021  20:02:11.126288,0.314855
10/7/2021  20:02:11.136288,0.318468
10/7/2021  20:02:11.146288,0.322410
10/7/2021  20:02:11.156288,0.315840
10/7/2021  20:02:11.166288,0.315512
10/7/2021  20:02:11.176288,0.314527
10/7/2021  20:02:11.186288,0.315840
10/7/2021  20:02:11.196288,0.318468
10/7/2021  20:02:11.206288,0.317811
10/7/2021  20:02:11.216288,0.314855
10/7/2021  20:02:11.226288,0.316169
10/7/2021  20:02:11.236288,0.319782
10/7/2021  20:02:11.246288,0.330292
10/7/2021  20:02:11.256288,0.340146
10/7/2021  20:02:11.266288,0.331935
10/7/2021  20:02:11.276288,0.326679
10/7/2021  20:02:11.286288,0.321753
10/7/2021  20:02:11.296288,0.315512
10/7/2021  20:02:11.306288,0.316497
10/7/2021  20:02:11.316288,0.316826
10/7/2021  20:02:11.326288,0.317483
10/7/2021  20:02:11.336288,0.317483
10/7/2021  20:02:11.346288,0.317154
10/7/2021  20:02:11.356288,0.336862
10/7/2021  20:02:11.366288,0.328650
10/7/2021  20:02:11.376288,0.324380
10/7/2021  20:02:11.386288,0.321096
10/7/2021  20:02:11.396288,0.317483
10/7/2021  20:02:11.406288,0.317483
10/7/2021  20:02:11.416288,0.317154
10/7/2021  20:02:11.426288,0.318797
10/7/2021  20:02:11.436288,0.317811
10/7/2021  20:02:11.446288,0.318140
10/7/2021  20:02:11.456288,0.337190
10/7/2021  20:02:11.466288,0.328322
10/7/2021  20:02:11.476288,0.326679
10/7/2021  20:02:11.486288,0.321096
10/7/2021  20:02:11.496288,0.316826
10/7/2021  20:02:11.506288,0.317811
